category,category_label,agencyId,eligibilityId,program,agency,bureau,funding_amt,funding_amt_notes,period_of_availability,funding_type,newprogram_yes_no,eligibility,description,eligible_uses,application,next_milestone,link,coverage,tribal_eligibility
water,Critical clean water and wastewater infrastructure,doa,.tribal,Vegetation and Watershed Management Projects,Department of Agriculture,Forest Service,"$200,000,000 ",,"To remain available until September 30, 2031.",Direct Federal Spending,Existing,National Forests and Grasslands (Tribes via the Tribal Forest Protection Act and other co-stewardship authorities),To enhance ecological integrity and restoration as prescribed in a Water Source Protection Plan or Watershed Restoration Action Plan.,Watershed improvement; vegetation treatments,,,https://www.deq.nc.gov/about/divisions/water-resources/water-resources-grants/water-resources-development-grant-program,IRA,Yes
pollution,Remediation and reduction of legacy pollution,doa,.tribal,Develop and Implement Activities and Tactics for Old Growth Forest Protection,Department of Agriculture,Forest Service,"$50,000,000 ",,"To remain available until September 30, 2031.",Direct Federal Spending,Existing,National Forests and Grasslands (Tribes via the Tribal Forest Protection Act and other co-stewardship authorities),"To establish definitions for mature and old-growth forests, complete an inventory of old growth and mature forest conditions, and develop policy and process to preserve those conditions.","Inventory of old growth and mature forests, policy development, and preservation projects.",,,https://www.fs.usda.gov/managing-land/old-growth-forests,IRA,Yes
climate,Climate Change,doa,.other,Assistance to Underserved Forest Landowners - Climate Mitigation and Forest Resilience Practices,Department of Agriculture,Forest Service,"$150,000,000 ",,"To remain available until September 30, 2031.",Grants,New,Non-Federal Forests,To assist underserved forest landowners in carrying out climate mitigation or forest resilience practices.,Technical assistance to underserved forest landowners,,,TBD,IRA,Yes
climate,Climate Change,doa,.other,Assistance to Underserved Forest Landowners - Emerging Private Markets for Climate Mitigation and Forest Resilience,Department of Agriculture,Forest Service,"$150,000,000 ",,"To remain available until September 30, 2031.",Grants,New,Non-Federal Forests,To support the participation of underserved forest landowners in emerging private markets for climate mitigation or forest resilience.,Technical assistance with emerging markets,,,TBD,IRA,Yes
climate,Climate Change,doa,.other,"Assistance to Forest Landowners with <2,500 Acres of Forestland - Emerging Private Markets for Climate Mitigation and Forest Resilience",Department of Agriculture,Forest Service,"$100,000,000 ",,"To remain available until September 30, 2031.",Grants,New,Non-Federal Forests,"To support the participation of forest landowners who own less than 2,500 acres of forestland in emerging private markets for climate mitigation or forest resilience.","Technical assistance to forest landowners with less than 2,500 acres.",,,TBD,IRA,Yes
pollution,Remediation and reduction of legacy pollution,doa,.other,Payments to Private Forestland Landowners for Implementation of Forestry Practices,Department of Agriculture,Forest Service,"$50,000,000 ",,"To remain available until September 30, 2031.",Grants,New,Private Forests,To assist states and other eligible entities in providing payments to private forestland landowners for implementation of forestry practices on private forest land that provide measurable increases in carbon sequestration and storage beyond customary practices on comparable land.,Financial assistance to private forestland landowners,,,TBD,IRA,Yes
water,Critical clean water and wastewater infrastructure,doa,.biz,Wood Innovations Grant Program,Department of Agriculture,Forest Service,"$100,000,000 ",,"To remain available until September 30, 2031.",Grants,Existing,Existing forest product businesses,"To provide grants under the wood innovation grant program in section 8643 of the 2018 Farm bill, including for the construction of new facilities that advance the purposes of the program and for the cost of transporting of biomass from hazardous fuels reduction projects to facilities for processing.","Wood products innovations, construction of facilities",,,https://sam.gov/fal/61315ac25ecc43b6bcd7f7e7ff96519e/view,IRA,Yes
pollution,Remediation and reduction of legacy pollution,doa,.stateGov,Forest Legacy Program,Department of Agriculture,Forest Service,"$700,000,000 ",,"To remain available until September 30, 2031.",Grants,Existing,States,To provide competitive grants to states through the Forest Legacy Program to acquire land and interests in land.,To purchase land or interests in land to prioritize carbon sequestration or other ecosystem benefits to underserved populations.,,,https://sam.gov/fal/dba4065011834b8b9a1aff4080e06fa6/view,IRA,No
pollution,Remediation and reduction of legacy pollution,doa,".localGov, .research, .stateGov, .tribal, .agricultural",Urban and Community Forestry Assistance Program,Department of Agriculture,Forest Service,"$1,500,000,000 ",,"To remain available until September 30, 2031.",Grants,Existing,"A state agency, a local governmental entity, an agency or governmental entity of the District of Columbia, an agency or governmental entity of an insular area (as defined in section 1404 of the National Agricultural Research, Extension, and Teaching Policy Act of 1977 (7 U.S.C. 3103)), an Indian Tribe, or a nonprofit organization.","To provide competitive grants for investments that increase equitable access to urban tree canopy and associated human health, environmental and economic benefits in disadvantaged communities; broaden community engagement in local urban forest planning; and improve community and urban forest resilience to climate change, pests and storm events through best management and maintenance practices.",Tree planting and related activities,,,https://sam.gov/fal/37ef4e1b5d4a4592854a971f40c885e1/view,IRA,Yes
water,Critical clean water and wastewater infrastructure,doc,".stateGov, .ed",Coastal Zone Management,Department of Commerce,National Oceanic and Atmospheric Administration,"$207,000,000",,2 years for each annual tranche,Grant,No,"States (Includes District Of Columbia, Public Institutions Of Higher Education, And Hospitals); U.S. Territories And Possessions; U.S. Territories And Possessions (Includes Institutions Of Higher Education And Hospitals); State; Any Coastal State.",The National Oceanic and Atmospheric Administration’s Office for Coastal Management will implement these funds through Coastal Zone Management competitive and noncompetitive grants. The purpose of these funds is to restore and protect coastal ecosystems through direct investment by coastal States and territories in ecologically significant habitats.,"The Coastal Zone Management Act established a national system of State and territorial Coastal Zone Management Programs. These Programs work with coastal States and territories to address urgent coastal issues including climate change, ocean planning, and planning for energy facilities and development. This funding will enable approved coastal programs to protect and restore ecologically significant habitats, including conserving lands that play a critical role in helping communities become more resilient to natural hazards such as storms, flooding, inundation, erosion, tsunamis, sea level rise, and lake level changes.",,NOFO Open in Q3 2023,https://sam.gov/fal/c08dcbced00347c2875541ca0973608b/view,BIL,
water,Critical clean water and wastewater infrastructure,doc,".ngo, .stateGov, .tribal, .localGov",Fish Passage,Department of Commerce,National Oceanic and Atmospheric Administration,"$400,000,000",,2 years for each annual tranche,Grant,No,"Non-Profit 501(C) Organizations, State and Territorial Government Agencies, Local Governments, Municipal Governments, Tribal Governments and Organizations, Educational Institutions, Or Commercial (For-Profit) Organizations",Restoring fish passage by removing in-stream barriers and providing technical assistance pursuant to section 117 of the Magnuson-Stevens Fishery Conservation and Management Reauthorization Act of 2006 (16 U.S.C. 1891a).,"On the ground fish passage restoration projects, engineering and design, future project development phases, and building the capacity of new and existing restoration partners to design projects and manage multi-faceted construction efforts",,NOFO Open in Q4 2023,https://sam.gov/fal/e784a27cd8a04dde8f9dcb15835e3d76/view,BIL,
water,Critical clean water and wastewater infrastructure,doc,".localGov, .ed, .tribal, .stateGov, .ngo","Flood and Inundation Mapping and Forecasting, Water Modeling, and Precipitation Studies",Department of Commerce,National Oceanic and Atmospheric Administration,"$492,000,000",,2 years for each annual tranche,Various,No,"States, Counties, Cities / Townships, Special Districts, Tribal Governments (Federally Recognized), Tribal Governments (Other Than Federally Recognized), Public Higher-Ed Institutions, Private Higher-Ed Institutions, Nonprofits With 501(C)(3) Status, Nonprofits.","The National Oceanic and Atmospheric Administration will transform water prediction by delivering operational, continental-scale coastal and inland flood models and mapping capabilities. These capabilities include flood forecasts and projections that will provide actionable decision support services equitably delivered to communities across the nation.",Coastal and inland flood and inundation mapping and forecasting and next-generation water modeling activities - including modernized precipitation frequency and probable maximum studies.,,To be determined,https://sam.gov/fal/f9774c7a775c4a9fac561b74e1797415/view,BIL,
water,Critical clean water and wastewater infrastructure,doc,".ngo, .stateGov, .tribal, .localGov",Habitat Restoration,Department of Commerce,National Oceanic and Atmospheric Administration,"$491,000,000",,2 years for each annual tranche,Grant,No,"Non-Profit 501(c) Organizations, State And Territorial Government Agencies, Local Governments, Municipal Governments, Tribal Governments And Organizations, Educational Institutions, Or Commercial (For-Profit) Organizations.","The National Oceanic and Atmospheric Administration’s Office of Habitat Conservation will implement the habitat restoration funds through a competitive grants process with the purpose of restoring marine, estuarine, coastal, and Great Lakes ecosystem habitat as well as constructing or protecting ecological features that protect coastal communities from flooding or coastal storms.","The National Oceanic and Atmospheric Administration’s Office of Habitat Conservation protects and restores habitat to sustain fisheries, recover protected species, and maintain resilient coastal ecosystems and communities. Typical projects include removing dams and other barriers, reconnecting coastal wetlands, and rebuilding coral and oyster reefs. The Office of Habitat Conservation will provide technical assistance from project conception to completion and explore ways in which this funding can be used to support underserved communities.",,NOFO Open in Q4 2023,https://sam.gov/fal/e784a27cd8a04dde8f9dcb15835e3d76/view,BIL,
pollution,Remediation and reduction of legacy pollution,doc,".stateGov, .ed",National Estuarine Research Reserve System,Department of Commerce,National Oceanic and Atmospheric Administration,"$77,000,000",,2 years for each annual tranche,Grant,No,"State (Includes District Of Columbia, Public Institutions Of Higher Education And Hospitals); U.S. Territories And Possessions; U.S. Territories And Possessions (Includes Institutions Of Higher Education And Hospitals); State; Any Coastal State, Including Those That Border The Great Lakes, And Including Puerto Rico, The U.S. Virgin Islands, Guam, American Samoa, The Commonwealth Of The Northern Mariana Islands, And The Freely Associated States Of The Pacific Whose Coastal Zone Management Program Has Been Approved By The Secretary Of Commerce. The Governor shall designate the State Agency or Entity that is to be the Applicant.","The National Estuarine Research Reserve System consists of estuarine areas of the United States and its territories designated and managed for research and educational purposes, called Reserves. Each Reserve within the National Estuarine Research Reserve System is chosen to represent a different biogeographic region and to include a variety of ecosystem types in accordance with the classification scheme of the national program as specified in 15 CFR 921.","Coastal habitat restoration; coastal habitat restoration planning, engineering and design; land conservation",,NOFO Open in Q3 2023,https://sam.gov/fal/d09d91b64a414a5eb9a6b4e6b8e43970/view,BIL,
water,Critical clean water and wastewater infrastructure,doc,".ngo, .stateGov, .tribal, .localGov",National Oceans and Coastal Security Fund,Department of Commerce,National Oceanic and Atmospheric Administration,"$492,000,000",,2 years for each annual tranche,Grant,No,"Non-Profit 501(C) Organizations, State And Territorial Government Agencies, Local Governments, Municipal Governments, Tribal Governments And Organizations, Educational Institutions, Or Commercial (For-Profit) Organizations","The National Oceanic and Atmospheric Administration's National Oceans and Coastal Security Fund supports the National Coastal Resilience Fund which restores, increases and strengthens natural infrastructure to protect coastal communities while also enhancing habitats for fish and wildlife. Established in 2018, the National Coastal Resilience Fund invests in conservation projects that restore or expand natural features such as coastal marshes and wetlands, dune and beach systems, oyster and coral reefs, forests, coastal rivers and floodplains, and barrier islands that minimize the impacts of storms and other naturally occurring events on nearby communities.","Established in 2018, the National Coastal Resilience Fund invests in conservation projects that restore or expand natural features such as coastal marshes and wetlands, dune and beach systems, oyster and coral reefs, forests, coastal rivers and floodplains, and barrier islands that minimize the impacts of storms and other naturally occurring events on nearby communities. Geographically, the National Coastal Resilience Fund funds will focus on coastal areas of U.S. coastal States, including the Great Lakes States, U.S. territories, and coastal Tribal lands. The additional funding will enable the National Coastal Resilience Fund to provide increased support for communities most vulnerable to climate impacts, including those who have been historically disadvantaged.",,RFP Closed in Q3 2023,https://www.noaa.gov/infrastructure-law/infrastructure-law-climate-ready-coasts/national-oceans-and-coastal-security-fund,BIL,
pollution,Remediation and reduction of legacy pollution,doc,".tribal, .stateGov",Regional Ocean Partnerships,Department of Commerce,National Oceanic and Atmospheric Administration,"$56,000,000",,2 years for each annual tranche,"Contract, Cooperative Agreement",No,"States, Territories, Tribal Governments","Regional Ocean Partnerships are regional organizations voluntarily convened by governors working in collaboration with other governments (including Tribal, Federal, and local) and stakeholders to address ocean and coastal issues of common concern in that region. Regional Ocean Partnerships, along with equivalent organizations such as Integrated Ocean Observing System Regional Associations, also serve to enhance associated sharing and integration of Federal and non-Federal data.",Implementation of Regional Ocean Partnership priority actions identified in Regional Ocean Partnership work plans; regional capacity for sharing and integration of Federal and non-Federal data,,NOFO Open in Q3 2023,https://sam.gov/fal/eb607b9f299e425cb50a7c4869a2d872/view,BIL,
water,Critical clean water and wastewater infrastructure,doc,".localGov, .biz, .ed, .tribal, .stateGov, .indiv, .ngo",Soil Moisture and Snowpack Pilot Program,Department of Commerce,National Oceanic and Atmospheric Administration,"$1,000,000",,2 years for each annual tranche,Various,No,"States, Counties, Cities / Townships, Special Districts, Tribal Governments (Federally Recognized), Tribal Governments (Other Than Federally Recognized), Public Higher-Ed Institutions, Private Higher-Ed Institutions, Nonprofits With 501(C)(3) Status, Nonprofits - Without 501(C)(3) Status, Small Businesses, Businesses (Other Than Small Businesses), And / Or Individuals",The study of the soil moisture and snowpack monitoring network in the Upper Missouri River Basin pursuant to section 511(b)(3) of the Water Resources Development Act of 2020 (division AA of Public Law 116–260) (see Provision 4 description).,The study of the soil moisture and snowpack monitoring network in the Upper Missouri River Basin,,To be determined,https://sam.gov/fal/c401df859cf1424aa4c0e9c791ba57f9/view,BIL,
water,Critical clean water and wastewater infrastructure,doc,".localGov, .biz, .ed, .tribal, .stateGov, .indiv, .ngo",Water Resources Development Act Data Acquisition,Department of Commerce,National Oceanic and Atmospheric Administration,"$25,000,000",,2 years for each annual tranche,Various,No,"States, Counties, Cities / Townships, Special Districts, Tribal Governments (Federally Recognized), Tribal Governments (Other Than Federally Recognized), Public Higher-Ed Institutions, Private Higher-Ed Institutions, Nonprofits With 501(C)(3) Status, Nonprofits - Without 501(C)(3) Status, Small Businesses, Businesses (Other Than Small Businesses), And / Or Individuals","Section 511(b)(1) and (2) of the Water Resources Development Act of 2020 (division AA of Public Law 116–260) requires the National Oceanic and Atmospheric Administration to establish a pilot program within the National Mesonet Program for the acquisition and use of data generated by a U.S. Army Corps of Engineers -led initiative. Army Corps of Engineers is augmenting existing mesonet sites in 5 networks in the Upper Missouri River Basin with new soil moisture and snowpack instrumentation and installing new sites to reach a total of 540 sites outfitted with the new instrumentation by the end of fiscal year 2026. To support these efforts, the National Oceanic and Atmospheric Administration will establish the Soil Moisture and Snowpack Monitoring Pilot Program, which will acquire data that is generated by the network being installed in the Upper Missouri River Basin from 2023 through 2025. The National Weather Service National Mesonet Program supports a public-private partnership of nearly four-dozen mesonet networks operated by the States and the private sector providing hydrometeorological observational data at more than 30,000 sites nationwide.","Establishment of the Soil Moisture and Snowpack Monitoring Pilot Program, which will acquire data that is generated by the network being installed in the Upper Missouri River Basin.",,To be determined,https://sam.gov/fal/c401df859cf1424aa4c0e9c791ba57f9/view,BIL,
pollution,Remediation and reduction of legacy pollution,doc,.stateGov,State Digital Equity Capacity Grant,Department of Commerce,National Telecommunications and Information Administration,"$1,440,000,000",,Available until expended,Grant,Yes,"States, Territories, District of Columbia","As part of the Digital Equity Act programs, $2.75 billion was dedicated to establish three grant programs that promote digital inclusion and equity to ensure that all individuals and communities have the skills, technology, and capacity needed to reap the full benefits of our digital economy. The goal of these programs is to promote the meaningful adoption and use of broadband services across the targeted populations in the Act, including low-income households, aging populations, incarcerated individuals, veterans, individuals with disabilities, individuals with a language barrier, racial and ethnic minorities, and rural inhabitants. The State Digital Equity Capacity Grant Program dedicates a $1.44 billion formula grant program for States, Territories, Tribal governments, Alaska Native entities, Native Hawaiian organizations distributed via annual grant programs over five years to implement digital equity projects and support the implementation of digital equity plans.","Planning (e.g. feasibility), broadband adoption/digital literacy/tech support",,To be determined,https://broadbandusa.ntia.doc.gov/sites/default/files/2022-06/DE-FAQs.pdf,BIL,
water,Critical clean water and wastewater infrastructure,doc,".ngo, .tribal, .stateGov, .localGov",Middle Mile Grant Program,Department of Commerce,National Telecommunications and Information Administration,"$1,000,000,000",,fiscal years 2022-2026,Grant,Yes,"States, Counties, Cities/Townships and their subdivisions; Tribal governments; Native entities; Public Utility Districts; Economic Development Authorities, Regional Planning Councils; Technology and Telecommunications Companies; Electric Utilities; Electric Cooperatives; and Nonprofits.","Establishes and funds a $1 billion program for the construction, improvement or acquisition of middle mile infrastructure. The purpose of the grant program is to expand and extend middle mile infrastructure to reduce the cost of connecting unserved and underserved areas to the internet backbone. Eligible applicants include States, political subdivisions of a State, Tribal governments, technology companies, electric utilities, utility cooperatives, public utility districts, telecommunications companies, telecommunications cooperatives, nonprofit foundations, nonprofit corporations, nonprofit institutions, nonprofit associations, regional planning councils, Native entities, or economic development authorities.",Broadband infrastructure deployment (e.g. construction),,Only Round of Funding Allocated / Selections Announced in Summer 2023,https://sam.gov/fal/cd91c6a9d6c042f0aa491124595c34f0/view,BIL,
pollution,Remediation and reduction of legacy pollution,doc,".localGov, .ed, .stateGov, .tribal, .ngo",State Digital Equity Competitive Grant,Department of Commerce,National Telecommunications and Information Administration,"$1,250,000,000",,Available until expended,Grant,Yes,"Local Education Agency; State Governments, including any political subdivisions of the State; Tribal/Native American Governments; Alaska Native Entities; and Native Hawaiian Organizations, Non-Profit Organizations; Community Anchor Institutions; and Workforce Development Programs","As part of the Digital Equity Act programs, $2.75 billion was dedicated to establish three grant programs that promote digital inclusion and equity to ensure that all individuals and communities have the skills, technology, and capacity needed to reap the full benefits of our digital economy. The goal of these programs is to promote the meaningful adoption and use of broadband services across the targeted populations in the Act, including low-income households, aging populations, incarcerated individuals, veterans, individuals with disabilities, individuals with a language barrier, racial and ethnic minorities, and rural inhabitants. The Digital Equity Competitive Grant Program is a $1.25 billion discretionary grant program distributed via annual grant programs over five years to implement digital equity projects. Eligible applicants include specific types of political subdivision, agency, or instrumentality of a State; Tribal governments; nonprofit entities; community anchor institutions; local educational agencies; and entities that carry out workforce development programs.","Broadband adoption/digital literacy/tech support, digital equity programs",,To be determined,https://www.ntia.gov/category/funding-programs,BIL,
pollution,Remediation and reduction of legacy pollution,doc,.stateGov,State Digital Equity Planning Grant,Department of Commerce,National Telecommunications and Information Administration,"$60,000,000",,Available until expended,Grant,Yes,"States, Territories, District of Columbia","As part of the Digital Equity Act programs, $2.75 billion was dedicated to establish three grant programs that promote digital inclusion and equity to ensure that all individuals and communities have the skills, technology, and capacity needed to reap the full benefits of our digital economy. The goal of these programs is to promote the meaningful adoption and use of broadband services across the targeted populations in the Act, including low-income households, aging populations, incarcerated individuals, veterans, individuals with disabilities, individuals with a language barrier, racial and ethnic minorities, and rural inhabitants. The State Digital Equity Planning Grant Program is a $60 million formula grant program for States and territories to develop digital equity plans.",Planning (e.g. feasibility).,,Planning grants to all states and territories as of FY23Q3; Digital Equity plans will be submitted June-December 2023,https://grants.ntia.gov/grantsPortal/s/funding-program/a0g3d00000018OlAAI/state-digital-equity-planning-grant-program,BIL,
pollution,Remediation and reduction of legacy pollution,doc,".ngo, .tribal, .ed, .indiv",Tribal Broadband Connectivity Program,Department of Commerce,National Telecommunications and Information Administration,"$2,000,000,000",,Available until expended,Grant,No,"Tribal Governments, Tribal organizations, Tribal Colleges or Universities, the Department of Hawaiian Home Lands on behalf of the Native Hawaiian Community, and Alaska Native Corporations. ​","The Tribal Broadband Connectivity Program provides grants for broadband infrastructure deployment; affordable broadband programs; distance learning, telehealth, digital inclusion efforts; and broadband adoption activities. The program was initially authorized by the Consolidated Appropriations Act, 2021, Division N, Title IX, Section 905, Public Law 116-260, 134 Stat. 1182. The Infrastructure Investment and Jobs Act provides an additional $2 billion to the Tribal Broadband Connectivity Program.","Planning (e.g. feasibility), broadband infrastructure deployment (e.g. construction), broadband adoption/digital literacy/tech support, digital skills training (e.g. science, technology, engineering, arts and math, Workforce Development), Devices/equipment (e.g. laptops, hotspots), public connectivity/computer access, research and/or evaluation, data and/or mapping, smart communities/cities/regions, telehealth",,NOFO Open in Summer 2023,https://sam.gov/fal/5585a8cb758e4048b0e90fd4b1e31131/view,BIL,
pollution,Remediation and reduction of legacy pollution,doc,".stateGov, .tribal, .ed, .localGov",Investing in Coastal Communities and Climate Resilience,Department of Commerce,National Oceanic and Atmospheric Administration,"$2,600,000,000 ",,"To remain available until September 30, 2026","Direct federal spending, contracts, grants, cooperative agreements, or technical assistance",Existing,"Coastal states (as defined in the Coastal Zone Management Act), the District of Columbia, Tribal governments, nonprofit organizations, local governments, and institutions of higher education.","To support coastal resilience, coastal communities, and conservation, restoration, and protection of coastal and marine habitat and resources, including fisheries. NOAA conducted tribal consultation in March 2023, with live consultations on March 8 and March 9 and written comments accepted through March 31, 2023.","Conservation, restoration, and protection of coastal and marine habitats and resources, including fisheries, to enable coastal communities to prepare for extreme storms and other changing climate conditions, and for projects that support natural resources that sustain coastal and marine resource dependent communities, and for related administrative expenses.",,,TBD,IRA,Yes
energy,Clean Energy and Energy Efficiency,doc,.other,Facilities of the National Oceanic and Atmospheric Administration and National Marine Sanctuaries,Department of Commerce,National Oceanic and Atmospheric Administration,"$200,000,000 ",,"To remain available until September 30, 2026",Direct Federal Spending,Existing,Direct Federal Spending,To support the construction of NOAA facilities and facilities that support the National Marine Sanctuary System.,"Construction of new facilities (including facilities in need of replacement) including piers, marine operations facilities, and fisheries laboratories and construction of facilities to support the National Marine Sanctuary System",,,https://sanctuaries.noaa.gov/education/ocean_guardian/application.html,IRA,No
energy,Clean Energy and Energy Efficiency,doc,.other,Research and Forecasting for Weather and Climate,Department of Commerce,National Oceanic and Atmospheric Administration,"$200,000,000 ",,"To remain available until September 30, 2026",Grants ($50 million); TBD ($150 million),Existing,TBD,"To support advancements and improvements in research, observation systems, modeling, forecasting, assessments, and dissemination of information related to weather, coasts, oceans, and climate, including climate research.","Projects that accelerate advances and improvements in research, observation systems, modeling, forecasting, assessments, and dissemination of information related to weather, coasts, oceans, and climate, including climate research",,,https://sam.gov/fal/ebe8561f3e5a4425ac43ea974a33ea6e/view,IRA,TBD
energy,Clean Energy and Energy Efficiency,doe,.other,Assisting Federal Facilities with Energy Conservation Technologies Grant Program,Department of Energy,Energy Efficiency and Renewable Energy,"$250,000,000",,Available until expended,Grant,No,Federal Agencies,To provide grants to Federal agencies that they can leverage with private capital to make energy and water efficiency upgrades to Federal buildings.,To aid Federal agencies in meeting energy and water use requirements to improve sustainability.,,Funding Opportunity Closed in May 2023,https://sam.gov/fal/2600c2c488614508b0e6c2622ebe2df0/view,BIL,
energy,Clean Energy and Energy Efficiency,doe,.other,Purchase of Power and Transmission Services,Department of Energy,"Construction, Rehabilitation, Operation and Maintenance, Western Area Power Administration","$500,000,000",,Available until expended,Federal Expenditure at Discretion of Western Area Power Administration Administrator,No,Power Generation and Wheeling Providers,For the Western Area Power Administration to purchase power and transmission services.,"To purchase power and transmission services, recover purchase power and wheeling services, and transfer to the Colorado River Basins Power Marketing Fund.",,To be determined,https://www.wapa.gov/,BIL,
energy,Clean Energy and Energy Efficiency,doe,.other,Hydroelectric Production Incentives,Department of Energy,Energy Efficiency and Renewable Energy,"$125,000,000",,Available until expended,Incentive Payment,No,Non-Federal owners of qualified hydroelectric or marine energy facilities,"Provides incentive payments for electric energy generated and sold by a qualified hydroelectric facility during the incentive period, to the owner or authorized operator of such a facility. Incentive payments for qualified facilities are based on the number of kilowatt-hours (kWh) generated in calendar year which Department of Energy determines, at a rate of 1.8 cents/kWh with a total ceiling of $1 million per facility","Incentive payments are provided based on determination of a qualified facility. A qualified hydroelectric facility is a hydroelectric generation facility that:
- is located in a State or in U.S. jurisdictional waters;
- has a water-powered turbine or other generating device (including conventional or new and innovative technologies capable of continuous operation);
- is owned or solely operated by a non-Federal entity;
- began producing hydroelectric energy for sale on or after October 1, 2005; and
that either:
- added generation capability, excluding maintenance, through the incorporation of new equipment, refurbished equipment, or both to an existing dam or conduit that was completed before November 15, 2021;
or,
- has a generating capacity of not more than 20 megawatts;
- for which the non-Federal entity has received a construction authorization from the Federal Energy Regulatory Commission, if applicable; and
- that is constructed in an area in which there is inadequate electric service.",,First Round of Funding Allocated / Selections Announced in May 2023,https://sam.gov/fal/3f75036824054409bfe2bcf24b45d8f2/view,BIL,
energy,Clean Energy and Energy Efficiency,doe,.ed,"Hydropower Research, Development, and Demonstration",Department of Energy,Energy Efficiency and Renewable Energy,"$36,000,000",,Available until expended,TBD,No,"Industry, National Labs, academia, other","To fund research, development, and demonstration activities to improve hydropower technologies.","Research, development, demonstration, and commercial application for technologies that improve the capacity, efficiency, resilience, security, reliability, affordability, and environmental impact, including potential cumulative environmental impacts, of hydropower systems.",,Additional Round of Funding Allocated / Selections Announced in September 2023,https://sam.gov/fal/3f75036824054409bfe2bcf24b45d8f2/view,BIL,
energy,Clean Energy and Energy Efficiency,doe,".ngo, .ed",Industrial Research and Assessment Centers,Department of Energy,Energy Efficiency and Renewable Energy,"$150,000,000",,Available until expended,Grant,No,"Institutions of Higher Education, Community College, Trade School, Or Union Training Program",To provide funding for institutions of higher education-based industrial research and assessment centers to identify opportunities for optimizing energy efficiency and environmental performance at manufacturing and other industrial facilities.,"To provide in-depth assessments of small- and medium-sized manufacturing plant sites to evaluate the facilities, services, and manufacturing operations of the plant sites; to identify opportunities for optimizing energy efficiency and environmental performance, including implementation of— (i) smart manufacturing; (ii) energy management systems; (iii) sustainable manufacturing; (iv) information technology advancements for supply chain analysis, logistics, system monitoring, industrial and manufacturing processes, and other purposes; and (v) waste management systems; to promote applications of emerging concepts and technologies in small- and medium-sized manufacturers (including water and wastewater treatment facilities and Federally owned manufacturing facilities); to promote research and development for the use of alternative energy sources to supply heat, power, and new feedstocks for energy-intensive industries; to coordinate with appropriate Federal and State research offices; to provide a clearinghouse for industrial process and energy efficiency technical assistance resources; and to coordinate with State-accredited technical training centers and community colleges, while ensuring appropriate services to all regions of the United States.",,To be determined,https://sam.gov/fal/2600c2c488614508b0e6c2622ebe2df0/view,BIL,
energy,Clean Energy and Energy Efficiency,doe,.ed,"Marine Energy Research, Development, and Demonstration",Department of Energy,Energy Efficiency and Renewable Energy,"$70,400,000",,Available until expended,TBD,No,"Industry, National Labs, academia, other","To fund research, development, and demonstration activities to improve marine energy technologies.","(1) Assist technology development to improve the components, processes, and systems used for power generation from marine energy resources at a variety of scales;
(2) establish and expand critical testing infrastructure and facilities necessary to: (A) demonstrate and prove marine energy devices at a range of scales in a manner that is cost-effective and efficient; and (B) accelerate the technological readiness and commercial application of such devices; 
(3) address marine energy resource variability issues, including through the application of energy storage technologies; 
(4) advance efficient and reliable integration of marine energy with the electric grid, which may include smart building systems; 
(5) identify and study critical short-term and long-term needs to maintaining a sustainable marine energy supply chain based in the United States; 
(6) increase the reliability, security, and resilience of marine energy technologies; 
(7) validate the performance, reliability, maintainability, and cost of marine energy device designs and system components in an operating environment; 
(8) consider the protection of critical infrastructure, such as adequate separation between marine energy devices and submarine telecommunications cables, including through the development of voluntary, consensus-based standards for such purposes; 
(9) identify opportunities for crosscutting research, development, and demonstration programs between existing energy research programs; 
(10) identify and improve, in conjunction with the Secretary of Commerce, acting through the Under Secretary of Commerce for Oceans and Atmosphere, and other relevant Federal agencies as appropriate, the environmental impact, including potential cumulative environmental impacts, of marine energy technologies, including: (A) potential impacts on fisheries and other marine resources and (B) developing technologies, including mechanisms for self-evaluation, and other means available for improving environmental impact, including potential cumulative environmental impacts; 
(11) identify, in consultation with relevant Federal agencies, potential navigational impacts of marine energy technologies and strategies to prevent possible adverse impacts, in addition to opportunities for marine energy systems to aid the United States Coast Guard, such as remote sensing for coastal border security; 
(12) develop numerical and physical tools, including models and monitoring technologies, to assist industry in device and system design, installation, operation, and maintenance, including methods to validate such tools; 
(13) support materials science as it relates to marine energy technology, such as the development of corrosive-resistant materials; 
(14) improve marine energy resource forecasting and general understanding of aquatic system behavior, including turbulence and extreme conditions; 
(15) develop metrics and voluntary, consensus-based standards, in coordination with the National Institute of Standards and Technology and appropriate standard development organizations, for marine energy components, systems, and projects, including: (A) measuring performance of marine energy technologies and (B) characterizing environmental conditions; 
(16) enhance integration with hybrid energy systems, including desalination; 
(17) identify opportunities to integrate marine energy technologies into new and existing infrastructure; and 
(18) to develop technology necessary to support the use of marine energy— (A) for the generation and storage of power at sea; and (B) for the generation and storage of power to promote the resilience of coastal communities, including in applications relating to— (i) desalination; (ii) disaster recovery and resilience; and (iii) community microgrids in isolated power systems.",,Funding Opportunity Closed in October 2023,https://sam.gov/fal/3f75036824054409bfe2bcf24b45d8f2/view,BIL,
